State,City,Order_Date,Restaurant_Name,Location,Category,Dish_Name,Price_INR,Rating,Rating_Count
Gujarat,Surat,01-07-2024,Biryani House,Sector 18,Pizza,Margherita,249,3.7,264
Rajasthan,Jaipur,01-05-2024,KFC,West,Pizza,Pepper Paneer,249,4.1,3340
Tamil Nadu,Coimbatore,21-05-2025,Roll Nation,Banjara Hills,South Indian,Masala Dosa,499,4.3,4465
Tamil Nadu,Madurai,23-05-2025,Spice Hub,Banjara Hills,Burger,Aloo Tikki Burger,199,4.3,3942
Karnataka,Bengaluru,15-12-2025,Biryani House,South,North Indian,Naan,149,3.5,4120
Gujarat,Surat,15-01-2025,Spice Hub,Sector 18,Chinese,Fried Rice,249,4.6,4100
Tamil Nadu,Madurai,17-05-2025,Spice Hub,East,Pizza,Margherita,199,4.1,877
Madhya Pradesh,Bhopal,03-09-2024,Cafe Aroma,West,Burger,Cheese Burger,599,4,1973
Madhya Pradesh,Indore,05-06-2024,Food Junction,West,South Indian,Masala Dosa,499,4,3218
Tamil Nadu,Madurai,12-08-2025,Pizza Hut,Sector 18,North Indian,Paneer Butter Masala,249,4.3,965
Karnataka,Mysuru,03-02-2025,Roll Nation,Banjara Hills,Beverages,Cold Coffee,349,4.6,2624
Tamil Nadu,Madurai,01-01-2025,Burger King,West,Biryani,Paneer Biryani,99,3.9,3667
Karnataka,Bengaluru,23-04-2024,Cafe Aroma,Central,Beverages,Cold Coffee,199,3.6,2779
Tamil Nadu,Chennai,04-09-2024,Biryani House,Andheri,North Indian,Dal Makhani,199,4.5,537
Tamil Nadu,Coimbatore,10-05-2024,Pizza Hut,South,South Indian,Masala Dosa,99,4.2,871
Maharashtra,Mumbai,19-06-2024,Roll Nation,West,North Indian,Naan,499,4,693
Karnataka,Mangalore,26-06-2024,Burger King,Koramangala,North Indian,Naan,199,3.5,1515
Madhya Pradesh,Indore,10-12-2025,Pizza Hut,Banjara Hills,Burger,Veg Burger,99,4.5,1392
Maharashtra,Mumbai,08-11-2024,Royal Kitchen,South,Pizza,Veg Farmhouse,599,4.9,1276
Tamil Nadu,Coimbatore,22-08-2025,Tandoori Treat,MG Road,Biryani,Veg Biryani,349,3.7,395
Tamil Nadu,Chennai,05-06-2025,Subway,Sector 18,North Indian,Dal Makhani,349,4.7,867
West Bengal,Siliguri,19-08-2024,Roll Nation,North,Dessert,Brownie,499,4.9,4127
Karnataka,Mangalore,31-08-2025,Cafe Aroma,MG Road,Biryani,Veg Biryani,699,3.9,2079
Madhya Pradesh,Indore,23-07-2025,KFC,Banjara Hills,Biryani,Paneer Biryani,599,4,305
Tamil Nadu,Coimbatore,14-04-2024,Roll Nation,East,Biryani,Hyderabadi Biryani,349,3.9,2315
Tamil Nadu,Madurai,25-03-2025,Subway,Banjara Hills,Burger,Cheese Burger,199,4,4228
Maharashtra,Nagpur,21-09-2025,Domino's,North,Biryani,Veg Biryani,249,3.5,2111
Telangana,Hyderabad,10-12-2025,Cafe Aroma,West,Burger,Aloo Tikki Burger,399,4.6,1620
Rajasthan,Udaipur,01-11-2025,Royal Kitchen,Koramangala,North Indian,Paneer Butter Masala,399,4.3,1532
Tamil Nadu,Coimbatore,15-05-2024,Burger King,West,Biryani,Hyderabadi Biryani,99,4.8,2698
Madhya Pradesh,Indore,20-06-2024,Pizza Hut,Koramangala,South Indian,Vada,349,4.8,2225
Rajasthan,Jaipur,12-02-2024,Food Junction,Banjara Hills,South Indian,Idli,199,3.7,4734
Madhya Pradesh,Bhopal,23-01-2024,Food Junction,Andheri,Dessert,Ice Cream,149,3.6,2075
Telangana,Hyderabad,06-04-2024,Subway,Central,Pizza,Veg Farmhouse,699,4.1,3293
Uttar Pradesh,Lucknow,14-10-2024,Roll Nation,Banjara Hills,South Indian,Vada,499,4.6,4003
Telangana,Hyderabad,12-08-2024,Spice Hub,Banjara Hills,North Indian,Dal Makhani,499,3.6,1677
Uttar Pradesh,Kanpur,05-07-2025,Tandoori Treat,South,South Indian,Masala Dosa,199,4.2,970
Delhi,New Delhi,15-12-2024,Roll Nation,West,Biryani,Hyderabadi Biryani,499,4.4,4197
Tamil Nadu,Chennai,26-11-2024,Subway,MG Road,Burger,Veg Burger,499,3.8,1513
Uttar Pradesh,Noida,24-09-2025,Domino's,Banjara Hills,Beverages,Lassi,249,4.6,160
Telangana,Warangal,03-03-2024,Tandoori Treat,East,South Indian,Idli,699,4.2,808
Karnataka,Bengaluru,20-05-2025,KFC,Banjara Hills,North Indian,Naan,499,3.8,4666
Madhya Pradesh,Bhopal,04-06-2024,Burger King,North,Dessert,Ice Cream,199,5,4069
Karnataka,Mangalore,14-10-2025,Burger King,Central,North Indian,Paneer Butter Masala,299,3.9,3963
Madhya Pradesh,Bhopal,01-01-2024,Spice Hub,Andheri,Pizza,Pepper Paneer,699,5,2790
Uttar Pradesh,Lucknow,02-05-2024,Food Junction,Sector 18,Pizza,Veg Farmhouse,699,4.8,3372
Delhi,New Delhi,05-01-2024,Domino's,MG Road,Dessert,Gulab Jamun,99,3.8,2554
Madhya Pradesh,Indore,13-03-2025,Spice Hub,Andheri,South Indian,Masala Dosa,699,4.2,2511
Telangana,Hyderabad,27-02-2025,Cafe Aroma,Banjara Hills,South Indian,Vada,99,3.9,482
Telangana,Warangal,08-12-2025,Cafe Aroma,Banjara Hills,North Indian,Naan,499,4.3,4471
Delhi,New Delhi,15-08-2024,Food Junction,South,Biryani,Paneer Biryani,299,3.6,3667
West Bengal,Siliguri,25-07-2024,Burger King,Sector 18,Dessert,Brownie,599,4,1143
West Bengal,Kolkata,31-10-2024,KFC,West,South Indian,Idli,599,4.3,3755
Telangana,Warangal,21-04-2025,Burger King,Sector 18,South Indian,Masala Dosa,199,3.7,4191
Uttar Pradesh,Lucknow,29-08-2025,Roll Nation,Andheri,South Indian,Idli,149,3.9,4476
West Bengal,Kolkata,19-03-2024,Biryani House,MG Road,Dessert,Ice Cream,199,3.5,3040
Telangana,Warangal,24-11-2025,Spice Hub,North,Burger,Aloo Tikki Burger,299,4.1,1540
Madhya Pradesh,Bhopal,14-06-2025,Cafe Aroma,South,Beverages,Cold Coffee,99,4.3,661
Telangana,Warangal,06-06-2024,Biryani House,West,Pizza,Pepper Paneer,99,3.8,387
Tamil Nadu,Chennai,07-02-2025,Tandoori Treat,Koramangala,South Indian,Vada,399,4.8,1570
West Bengal,Kolkata,07-10-2024,Burger King,North,Biryani,Hyderabadi Biryani,249,3.8,3256
Maharashtra,Nagpur,30-01-2024,Roll Nation,Central,Biryani,Veg Biryani,499,4,3048
Gujarat,Ahmedabad,26-02-2025,Burger King,East,Burger,Veg Burger,249,5,3106
Madhya Pradesh,Indore,11-02-2024,Cafe Aroma,South,Pizza,Margherita,199,4.2,3122
Tamil Nadu,Coimbatore,22-11-2024,KFC,Sector 18,South Indian,Masala Dosa,599,4.9,643
Uttar Pradesh,Lucknow,13-02-2024,Domino's,Central,South Indian,Masala Dosa,599,3.8,683
Tamil Nadu,Coimbatore,29-06-2025,Food Junction,Central,Beverages,Lassi,149,3.9,1197
Telangana,Hyderabad,25-07-2025,KFC,Central,Beverages,Lassi,249,4.2,475
Madhya Pradesh,Bhopal,02-09-2024,Spice Hub,MG Road,Biryani,Veg Biryani,699,4.1,3676
Gujarat,Ahmedabad,11-07-2025,Spice Hub,MG Road,Biryani,Veg Biryani,299,4.6,209
Telangana,Hyderabad,03-12-2025,Spice Hub,North,Beverages,Lassi,99,4.4,2287
Tamil Nadu,Chennai,22-05-2025,KFC,East,Chinese,Manchurian,699,3.9,3858
Tamil Nadu,Madurai,10-07-2025,Pizza Hut,Banjara Hills,Chinese,Hakka Noodles,249,3.6,2703
Tamil Nadu,Madurai,14-12-2024,Cafe Aroma,Koramangala,Pizza,Pepper Paneer,499,5,3150
West Bengal,Siliguri,01-01-2025,Roll Nation,Central,Dessert,Ice Cream,149,4.1,368
Uttar Pradesh,Kanpur,05-12-2024,Tandoori Treat,Andheri,South Indian,Masala Dosa,699,4.5,974
Rajasthan,Jaipur,24-09-2025,Roll Nation,South,North Indian,Naan,349,4.3,622
Telangana,Hyderabad,24-02-2024,Tandoori Treat,East,Pizza,Margherita,99,4.3,4016
Telangana,Warangal,27-12-2024,Burger King,Central,Beverages,Lassi,99,4.7,1602
Karnataka,Mangalore,10-06-2025,Subway,Koramangala,Biryani,Paneer Biryani,199,3.7,3608
Tamil Nadu,Madurai,15-06-2024,Food Junction,Andheri,South Indian,Idli,499,4,1536
Karnataka,Mangalore,20-09-2025,Royal Kitchen,North,Burger,Cheese Burger,149,4.2,1017
Gujarat,Surat,02-02-2024,Domino's,Sector 18,South Indian,Vada,599,3.8,2988
Gujarat,Surat,15-09-2025,Subway,MG Road,Biryani,Veg Biryani,99,3.6,2515
Tamil Nadu,Coimbatore,31-03-2024,Burger King,South,Burger,Veg Burger,249,4.3,3829
Maharashtra,Pune,31-08-2025,Food Junction,MG Road,North Indian,Paneer Butter Masala,199,3.5,3414
Rajasthan,Udaipur,09-01-2024,KFC,Koramangala,Burger,Cheese Burger,99,4.9,2848
Karnataka,Bengaluru,23-12-2025,Biryani House,East,Dessert,Brownie,399,4.3,234
Maharashtra,Nagpur,13-05-2025,Royal Kitchen,Andheri,Pizza,Margherita,499,3.7,3587
Maharashtra,Nagpur,11-03-2025,Roll Nation,East,Biryani,Paneer Biryani,599,3.8,4891
Tamil Nadu,Coimbatore,21-11-2025,Cafe Aroma,Central,Dessert,Ice Cream,349,4.5,3942
Rajasthan,Udaipur,13-06-2025,Roll Nation,East,Biryani,Paneer Biryani,499,4.2,4568
Tamil Nadu,Coimbatore,15-08-2024,Domino's,Koramangala,Chinese,Fried Rice,299,3.8,2870
Karnataka,Bengaluru,22-11-2025,Tandoori Treat,Andheri,Burger,Cheese Burger,399,4.9,1414
Telangana,Hyderabad,26-07-2024,Burger King,MG Road,Biryani,Veg Biryani,499,4,2021
Gujarat,Vadodara,17-09-2025,KFC,Sector 18,Burger,Aloo Tikki Burger,699,4.1,902
Uttar Pradesh,Noida,13-07-2025,Spice Hub,North,North Indian,Paneer Butter Masala,349,4.4,1695
Uttar Pradesh,Lucknow,03-05-2024,Biryani House,Sector 18,Pizza,Margherita,699,3.5,3158
Gujarat,Vadodara,14-09-2024,Food Junction,East,Beverages,Mango Shake,199,3.7,1967
Rajasthan,Jaipur,26-05-2024,Biryani House,Sector 18,Dessert,Brownie,199,4.2,838
Delhi,New Delhi,24-12-2025,Spice Hub,West,South Indian,Masala Dosa,399,4.7,3031
Telangana,Hyderabad,23-06-2025,Food Junction,West,Dessert,Gulab Jamun,349,3.8,1272
Gujarat,Ahmedabad,09-04-2024,Tandoori Treat,Central,Biryani,Veg Biryani,599,4.4,2623
Karnataka,Mangalore,03-10-2024,Subway,MG Road,Biryani,Paneer Biryani,99,4.3,1915
Maharashtra,Pune,11-04-2025,Tandoori Treat,Koramangala,Dessert,Ice Cream,699,5,1973
Madhya Pradesh,Bhopal,15-06-2024,KFC,North,Biryani,Veg Biryani,499,3.6,947
Maharashtra,Mumbai,09-10-2025,Food Junction,Andheri,Biryani,Veg Biryani,349,4.9,4042
Madhya Pradesh,Bhopal,15-06-2024,Roll Nation,MG Road,Biryani,Hyderabadi Biryani,299,4.9,3303
Tamil Nadu,Madurai,01-07-2024,Royal Kitchen,West,North Indian,Naan,499,4.1,4270
Delhi,New Delhi,03-12-2025,Spice Hub,Sector 18,Beverages,Lassi,349,3.8,178
Tamil Nadu,Coimbatore,31-07-2024,Spice Hub,South,Biryani,Veg Biryani,99,4.4,2609
Madhya Pradesh,Indore,29-01-2025,Roll Nation,West,Biryani,Hyderabadi Biryani,399,3.9,2162
Tamil Nadu,Coimbatore,17-05-2024,Tandoori Treat,East,Biryani,Veg Biryani,249,3.6,481
Karnataka,Mysuru,06-04-2025,Royal Kitchen,West,Burger,Veg Burger,99,4.6,1886
Tamil Nadu,Madurai,14-08-2024,Biryani House,West,Dessert,Ice Cream,299,3.8,2046
Rajasthan,Jaipur,10-07-2025,Royal Kitchen,Banjara Hills,North Indian,Paneer Butter Masala,399,5,102
Uttar Pradesh,Lucknow,23-10-2024,Tandoori Treat,Banjara Hills,Dessert,Gulab Jamun,349,4.7,924
Maharashtra,Pune,23-11-2025,Domino's,Banjara Hills,Dessert,Gulab Jamun,499,3.8,3006
Maharashtra,Pune,02-11-2024,Subway,Central,Dessert,Brownie,599,4.7,3210
Maharashtra,Mumbai,16-04-2025,Spice Hub,Sector 18,South Indian,Vada,499,3.8,4948
Delhi,New Delhi,19-12-2025,Cafe Aroma,South,Beverages,Lassi,499,4.4,3251
Madhya Pradesh,Indore,06-04-2024,Domino's,Sector 18,Biryani,Paneer Biryani,99,4.1,1807
Madhya Pradesh,Bhopal,23-05-2025,Pizza Hut,MG Road,Chinese,Manchurian,99,4.9,2163
Maharashtra,Nagpur,02-05-2024,Domino's,MG Road,Beverages,Mango Shake,299,4.4,24
Tamil Nadu,Coimbatore,16-12-2025,Tandoori Treat,West,North Indian,Naan,299,4.6,1922
Gujarat,Ahmedabad,04-04-2025,Biryani House,South,Chinese,Fried Rice,249,4.8,982
Maharashtra,Nagpur,20-10-2024,Pizza Hut,East,Biryani,Paneer Biryani,399,4.8,1622
Madhya Pradesh,Bhopal,23-07-2024,KFC,East,Pizza,Veg Farmhouse,399,4.8,2764
West Bengal,Kolkata,14-04-2024,Subway,Sector 18,Dessert,Ice Cream,149,3.9,1663
Madhya Pradesh,Indore,29-11-2024,KFC,East,Biryani,Paneer Biryani,499,4.8,4998
Maharashtra,Mumbai,11-05-2025,KFC,North,South Indian,Masala Dosa,149,4,1180
West Bengal,Kolkata,10-02-2025,Domino's,Sector 18,Burger,Veg Burger,699,4.8,1113
Delhi,New Delhi,27-02-2024,Spice Hub,Koramangala,Chinese,Manchurian,99,4.7,4510
Uttar Pradesh,Lucknow,10-09-2024,KFC,MG Road,Biryani,Hyderabadi Biryani,149,4.4,1090
Uttar Pradesh,Lucknow,06-10-2025,Biryani House,Banjara Hills,Biryani,Veg Biryani,349,4.8,2403
West Bengal,Kolkata,23-01-2025,Pizza Hut,Banjara Hills,Burger,Veg Burger,349,4.3,1146
Maharashtra,Mumbai,15-01-2025,Burger King,West,Chinese,Hakka Noodles,599,4.2,210
Karnataka,Mangalore,24-06-2024,Tandoori Treat,West,Biryani,Hyderabadi Biryani,349,3.9,4982
Karnataka,Bengaluru,11-04-2024,Food Junction,Andheri,Biryani,Veg Biryani,149,4.4,3299
Uttar Pradesh,Kanpur,13-11-2025,Burger King,South,Chinese,Fried Rice,699,3.8,3519
Delhi,New Delhi,09-03-2024,Spice Hub,Koramangala,Burger,Veg Burger,499,4.6,2718
Delhi,New Delhi,19-09-2025,Pizza Hut,Banjara Hills,Pizza,Margherita,149,4.2,3443
Karnataka,Mysuru,04-04-2025,Roll Nation,South,Beverages,Lassi,349,4.1,3200
Madhya Pradesh,Bhopal,13-03-2024,KFC,Andheri,North Indian,Dal Makhani,249,4.9,3577
Karnataka,Mysuru,19-06-2025,Subway,MG Road,South Indian,Vada,199,3.8,1622
West Bengal,Siliguri,08-06-2024,Cafe Aroma,South,Burger,Aloo Tikki Burger,499,4.4,1251
Gujarat,Vadodara,30-05-2024,Spice Hub,East,Burger,Veg Burger,699,4.1,1425
Rajasthan,Jaipur,01-10-2025,Burger King,West,Beverages,Cold Coffee,699,4,1137
Gujarat,Ahmedabad,11-08-2025,Food Junction,Koramangala,Pizza,Veg Farmhouse,349,3.6,1526
Uttar Pradesh,Kanpur,22-06-2024,KFC,Andheri,Chinese,Hakka Noodles,99,3.8,991
Telangana,Warangal,22-08-2024,Spice Hub,Central,Pizza,Pepper Paneer,99,3.9,2005
Tamil Nadu,Coimbatore,22-04-2024,Royal Kitchen,Andheri,Beverages,Cold Coffee,199,4.4,2945
Karnataka,Mysuru,18-07-2025,Tandoori Treat,South,South Indian,Idli,149,4.2,541
Karnataka,Mysuru,30-01-2024,Pizza Hut,East,Pizza,Veg Farmhouse,399,3.5,3534
Maharashtra,Pune,09-02-2024,KFC,Sector 18,Dessert,Ice Cream,249,4.9,1018
Telangana,Warangal,17-05-2024,Cafe Aroma,South,Chinese,Fried Rice,249,3.9,814
Tamil Nadu,Chennai,03-04-2025,Cafe Aroma,Koramangala,Dessert,Gulab Jamun,199,4.6,2761
Telangana,Warangal,11-08-2024,KFC,South,Chinese,Manchurian,699,4.5,2258
Telangana,Hyderabad,20-07-2024,KFC,South,Dessert,Ice Cream,249,4.3,4038
Rajasthan,Udaipur,14-02-2025,Burger King,Andheri,North Indian,Naan,99,3.9,1628
Telangana,Hyderabad,25-05-2025,Tandoori Treat,Andheri,Beverages,Lassi,249,4.4,1333
Delhi,New Delhi,20-01-2024,Pizza Hut,Sector 18,North Indian,Paneer Butter Masala,499,3.7,3762
Rajasthan,Jaipur,29-05-2024,Royal Kitchen,MG Road,South Indian,Vada,349,4.8,4784
Maharashtra,Nagpur,07-10-2025,Royal Kitchen,East,Beverages,Mango Shake,599,3.6,446
Uttar Pradesh,Noida,16-02-2025,Spice Hub,Sector 18,Dessert,Brownie,399,5,410
Delhi,New Delhi,08-02-2025,Cafe Aroma,South,Pizza,Margherita,599,4.8,3223
Karnataka,Mysuru,12-04-2024,Food Junction,South,Dessert,Ice Cream,299,4.1,604
Madhya Pradesh,Bhopal,04-12-2025,Burger King,Sector 18,Biryani,Veg Biryani,249,4.9,4714
Delhi,New Delhi,28-04-2024,Domino's,Koramangala,Biryani,Veg Biryani,499,4.4,4074
Karnataka,Mangalore,31-12-2024,Biryani House,MG Road,Biryani,Veg Biryani,499,5,1299
West Bengal,Kolkata,19-03-2024,Pizza Hut,East,Burger,Aloo Tikki Burger,99,3.6,4841
Telangana,Warangal,06-07-2024,Pizza Hut,Banjara Hills,Pizza,Margherita,599,3.6,1176
Madhya Pradesh,Bhopal,02-06-2025,Biryani House,Andheri,Chinese,Manchurian,399,4.5,4586
Gujarat,Ahmedabad,04-10-2024,Tandoori Treat,South,Biryani,Veg Biryani,599,3.7,1039
Uttar Pradesh,Lucknow,24-10-2024,Domino's,Koramangala,Biryani,Veg Biryani,199,4.1,3081
Maharashtra,Nagpur,27-10-2025,Burger King,South,Dessert,Gulab Jamun,349,4,4226
Uttar Pradesh,Kanpur,27-02-2025,Spice Hub,Andheri,Beverages,Mango Shake,149,5,3646
Karnataka,Mangalore,06-03-2024,Pizza Hut,Andheri,Biryani,Hyderabadi Biryani,99,4.4,2493
Tamil Nadu,Chennai,25-07-2024,Spice Hub,Banjara Hills,North Indian,Naan,399,3.6,3449
Telangana,Warangal,20-09-2024,Pizza Hut,Central,Dessert,Brownie,399,3.6,4242
Uttar Pradesh,Kanpur,30-07-2024,Biryani House,West,Dessert,Gulab Jamun,699,4.9,3321
Maharashtra,Pune,28-08-2024,KFC,South,Chinese,Manchurian,149,4.4,490
Telangana,Warangal,11-07-2025,Royal Kitchen,Central,Dessert,Gulab Jamun,599,3.9,212
Telangana,Warangal,29-05-2025,Food Junction,North,Biryani,Veg Biryani,199,4.1,826
Telangana,Warangal,02-01-2025,Biryani House,East,Beverages,Cold Coffee,199,5,2140
Madhya Pradesh,Indore,17-04-2024,Biryani House,Banjara Hills,Biryani,Paneer Biryani,699,4.1,1736
Maharashtra,Mumbai,05-02-2025,Spice Hub,East,South Indian,Vada,499,5,825
Maharashtra,Pune,19-01-2024,Domino's,Koramangala,North Indian,Naan,299,4.9,1808
Karnataka,Mangalore,10-01-2025,Biryani House,West,South Indian,Masala Dosa,499,4.6,1521
Karnataka,Bengaluru,28-05-2024,Burger King,East,South Indian,Vada,299,4.7,2457
Gujarat,Surat,31-08-2025,Spice Hub,Banjara Hills,North Indian,Dal Makhani,299,4.7,2211
Uttar Pradesh,Noida,21-12-2024,Burger King,Central,Dessert,Gulab Jamun,349,4.8,834
Maharashtra,Mumbai,10-01-2025,Pizza Hut,Andheri,North Indian,Paneer Butter Masala,699,3.8,1068
Uttar Pradesh,Noida,23-03-2025,Tandoori Treat,Central,Beverages,Cold Coffee,599,3.6,2602
Madhya Pradesh,Bhopal,29-06-2025,Food Junction,South,South Indian,Idli,349,3.6,4000
Telangana,Warangal,06-07-2024,Pizza Hut,East,Burger,Cheese Burger,99,4.9,4178
Madhya Pradesh,Bhopal,18-10-2025,Food Junction,West,South Indian,Masala Dosa,299,3.7,31
Delhi,New Delhi,22-01-2025,KFC,Banjara Hills,Pizza,Margherita,499,4.4,1581
Madhya Pradesh,Indore,03-07-2024,Subway,Sector 18,Chinese,Hakka Noodles,699,4.6,4340
Delhi,New Delhi,12-02-2024,Biryani House,MG Road,Dessert,Ice Cream,299,3.6,2155
Gujarat,Surat,20-11-2025,Roll Nation,Banjara Hills,Chinese,Hakka Noodles,99,4.1,2036
Madhya Pradesh,Bhopal,11-01-2025,Pizza Hut,Banjara Hills,Chinese,Hakka Noodles,199,4.8,3057
West Bengal,Siliguri,21-05-2025,Burger King,East,South Indian,Idli,499,4.2,3642
Rajasthan,Jaipur,09-04-2024,Cafe Aroma,Banjara Hills,Beverages,Cold Coffee,699,3.7,3420
Maharashtra,Nagpur,14-09-2024,Burger King,Andheri,Chinese,Manchurian,249,4.1,3163
Telangana,Hyderabad,12-07-2024,Biryani House,South,Dessert,Brownie,249,4.2,1302
Uttar Pradesh,Noida,16-11-2025,KFC,Andheri,Beverages,Mango Shake,599,4.3,1699
Rajasthan,Jaipur,10-10-2025,KFC,West,Pizza,Margherita,199,3.6,1507
Tamil Nadu,Chennai,19-09-2025,Burger King,MG Road,Pizza,Margherita,349,4,2595
Karnataka,Bengaluru,20-02-2025,Royal Kitchen,North,Biryani,Hyderabadi Biryani,599,4.9,1173
Delhi,New Delhi,09-03-2025,Pizza Hut,South,Pizza,Pepper Paneer,299,5,471
Delhi,New Delhi,24-10-2024,Cafe Aroma,Central,Beverages,Lassi,149,3.7,842
Delhi,New Delhi,13-08-2025,Tandoori Treat,Central,Burger,Aloo Tikki Burger,499,4.5,3395
Gujarat,Ahmedabad,11-07-2024,Food Junction,MG Road,Chinese,Manchurian,399,5,2344
Uttar Pradesh,Kanpur,23-02-2024,Subway,West,Biryani,Veg Biryani,599,4.1,4653
Tamil Nadu,Chennai,02-03-2025,KFC,Andheri,Pizza,Margherita,399,4.9,3800
West Bengal,Siliguri,02-03-2025,KFC,East,Chinese,Fried Rice,99,3.6,1880
Uttar Pradesh,Kanpur,13-06-2025,Burger King,Banjara Hills,Dessert,Ice Cream,699,4.7,2332
Delhi,New Delhi,15-11-2024,KFC,West,South Indian,Idli,149,3.8,1924
West Bengal,Siliguri,19-01-2024,Tandoori Treat,MG Road,Chinese,Fried Rice,399,3.6,4016
West Bengal,Kolkata,23-04-2024,Biryani House,MG Road,South Indian,Masala Dosa,299,5,4798
Rajasthan,Udaipur,11-12-2024,Royal Kitchen,Central,Chinese,Fried Rice,349,4.5,3498
Telangana,Warangal,24-06-2024,Domino's,Central,Pizza,Veg Farmhouse,199,4.4,203
Telangana,Hyderabad,01-06-2025,Biryani House,Sector 18,Chinese,Manchurian,699,3.5,4793
Telangana,Hyderabad,10-05-2025,Roll Nation,Koramangala,North Indian,Naan,499,3.6,200
Karnataka,Bengaluru,25-05-2025,Food Junction,West,Beverages,Lassi,499,3.6,4306
Tamil Nadu,Madurai,03-07-2025,Roll Nation,Central,Biryani,Hyderabadi Biryani,599,4.1,2180
West Bengal,Kolkata,18-01-2024,Subway,West,Dessert,Brownie,699,3.8,1302
Tamil Nadu,Chennai,11-10-2024,KFC,Koramangala,Biryani,Paneer Biryani,399,3.7,2928
Maharashtra,Nagpur,21-06-2024,Food Junction,North,Chinese,Hakka Noodles,699,4.6,4443
Rajasthan,Udaipur,11-11-2024,Domino's,Banjara Hills,South Indian,Idli,149,4.6,2764
Uttar Pradesh,Lucknow,10-09-2025,Cafe Aroma,Koramangala,Pizza,Veg Farmhouse,149,3.7,3695
Telangana,Hyderabad,27-09-2024,Royal Kitchen,North,Burger,Veg Burger,499,4,4651
Madhya Pradesh,Bhopal,02-12-2024,Biryani House,North,Pizza,Pepper Paneer,249,4,2912
Delhi,New Delhi,17-10-2025,Biryani House,Andheri,Pizza,Pepper Paneer,99,4.1,2717
West Bengal,Siliguri,12-07-2025,Burger King,Koramangala,Beverages,Lassi,349,3.8,1160
